Date,FT
01-08-23,98.27
01-07-23,98.27
01-06-23,98.27
01-05-23,98.27
01-04-23,93.43
01-03-23,93.43
01-02-23,93.43
01-01-23,93.43
01-12-22,1.39
01-11-22,1.39
01-10-22,1.39
01-09-22,1.39
01-08-22,24.77
01-07-22,24.77
01-06-22,24.77
01-05-22,24.77
01-04-22,93.43
01-03-22,93.43
01-02-22,93.43
01-01-22,93.43
01-12-21,-15.32
01-11-21,-15.32
01-10-21,-15.32
01-09-21,-15.32
01-08-21,-15.32
01-07-21,-15.32
01-06-21,-15.32
01-05-21,-15.32
01-04-21,-15.32
01-03-21,-15.32
01-02-21,-15.32
01-01-21,-15.32
01-12-20,-11.6
01-11-20,-11.6
01-10-20,-11.6
01-09-20,-11.6
01-08-20,-11.6
01-07-20,-11.6
01-06-20,-11.6
01-05-20,-11.6
01-04-20,-12.43
01-03-20,-12.43
01-02-20,-12.43
01-01-20,-12.43
01-12-19,-11.6
01-11-19,-11.6
01-10-19,-11.6
01-09-19,-11.6
01-08-19,-11.6
01-07-19,-11.6
01-06-19,-11.6
01-05-19,-11.6
01-04-19,-11.6
01-03-19,-11.6
01-02-19,-11.6
01-01-19,-11.6
01-12-18,-15.9
01-11-18,-15.9
01-10-18,-15.9
01-09-18,-15.9
01-08-18,-15.9
01-07-18,-15.9
01-06-18,-15.9
01-05-18,-15.9
01-04-18,-15.9
01-03-18,-15.9
01-02-18,-15.9
01-01-18,-15.9
01-12-17,-37.29
01-11-17,-37.29
01-10-17,-37.29
01-09-17,-37.29
01-08-17,-24.77
01-07-17,-24.77
01-06-17,-24.77
01-05-17,-24.77
01-04-17,-15.9
01-03-17,-15.9
01-02-17,-15.9
01-01-17,-15.9
01-12-16,-4.8
01-11-16,-4.8
01-10-16,-4.8
01-09-16,-4.8
01-08-16,-33.29
01-07-16,-33.29
01-06-16,-33.29
01-05-16,-33.29
01-04-16,-33.29
01-03-16,-33.29
01-02-16,-33.29
01-01-16,-33.29
01-12-15,58.96
01-11-15,58.96
01-10-15,58.96
01-09-15,58.96
01-08-15,49.61
01-07-15,49.61
01-06-15,49.61
01-05-15,49.61
01-04-15,46.38
01-03-15,46.38
01-02-15,-3.23
01-01-15,-3.23
01-12-14,59
01-11-14,59
01-10-14,59
01-09-14,59
01-08-14,69
01-07-14,69
01-06-14,69
01-05-14,69
01-04-14,69
01-03-14,69
01-02-14,69
01-01-14,69
01-12-13,52.04
01-11-13,52.04
01-10-13,52.04
01-09-13,52.04
01-08-13,46.92
01-07-13,46.92
01-06-13,46.92
01-05-13,46.92
01-04-13,54
01-03-13,54
01-02-13,54
01-01-13,54
01-12-12,0
01-11-12,0
01-10-12,0
01-09-12,0
01-08-12,0
01-07-12,30
01-06-12,30
01-05-12,30
01-04-12,48
01-03-12,48
01-02-12,48
01-01-12,48
01-12-11,86.88
01-11-11,86.88
01-10-11,86.88
01-09-11,86.88
01-08-11,95.81
01-07-11,95.81
01-06-11,-6
01-05-11,-6
01-04-11,-6
01-03-11,-6
01-02-11,-6
01-01-11,-6
01-12-10,92.55
01-11-10,92.55
01-10-10,92.55
01-09-10,92.55
01-08-10,92.55
01-07-10,92.55
01-06-10,92.55
01-05-10,92.55
01-04-10,92.55
01-03-10,92.55
01-02-10,92.55
01-01-10,92.55
01-12-09,92.55
01-11-09,92.55
01-10-09,92.55
01-09-09,92.55
01-08-09,92.55
01-07-09,92.55
01-06-09,92.55
01-05-09,92.55
01-04-09,92.55
01-03-09,92.55
01-02-09,92.55
01-01-09,92.55
01-12-08,66.11
01-11-08,68.86
01-10-08,68.86
01-09-08,68.86
01-08-08,68.86
01-07-08,62.85
01-06-08,62.85
01-05-08,62.85
01-04-08,62.85
01-03-08,77.7
01-02-08,77.7
01-01-08,77.7
01-12-07,78.42
01-11-07,73.42
01-10-07,73.42
01-09-07,73.42
01-08-07,73.42
01-07-07,68.42
01-06-07,68.42
01-05-07,68.42
01-04-07,68.42
01-03-07,66.11
01-02-07,66.11
01-01-07,66.11
01-12-06,56.83
01-11-06,75.84
01-10-06,75.84
01-09-06,75.84
01-08-06,75.84
01-07-06,85.44
01-06-06,85.44
01-05-06,85.44
01-04-06,85.44
01-03-06,78.42
01-02-06,78.42
01-01-06,78.42
01-12-05,43.28
01-11-05,43.28
01-10-05,43.28
01-09-05,43.28
01-08-05,43.28
01-07-05,46.83
01-06-05,46.83
01-05-05,46.83
01-04-05,46.83
01-03-05,56.83
01-02-05,56.83
01-01-05,56.83
01-12-04,26.12
01-11-04,38.28
01-10-04,38.28
01-09-04,38.28
01-08-04,38.28
01-07-04,38.28
01-06-04,38.28
01-05-04,38.28
01-04-04,38.28
01-03-04,43.28
01-02-04,43.28
01-01-04,43.28
01-12-03,21.95
01-11-03,26.12
01-10-03,26.12
01-09-03,26.12
01-08-03,26.12
01-07-03,26.12
01-06-03,26.12
01-05-03,26.12
01-04-03,26.12
01-03-03,26.12
01-02-03,26.12
01-01-03,26.12
01-12-02,22.77
01-11-02,21.95
01-10-02,21.95
01-09-02,21.95
01-08-02,21.95
01-07-02,21.95
01-06-02,21.95
01-05-02,21.95
01-04-02,21.95
01-03-02,21.95
01-02-02,21.95
01-01-02,21.95
01-12-01,0
01-11-01,24.44
01-10-01,24.44
01-09-01,24.44
01-08-01,24.44
01-07-01,27.13
01-06-01,27.13
01-05-01,27.13
01-04-01,27.13
01-03-01,22.77
01-02-01,22.77
01-01-01,22.77
01-12-00,56.32
01-11-00,56.32
01-10-00,56.32
01-09-00,61.52
01-08-00,61.52
01-07-00,61.52
01-06-00,61.52
01-05-00,64.52
01-04-00,64.52
01-03-00,0
01-02-00,0
01-01-00,0
01-12-99,50.71
01-11-99,50.71
01-10-99,50.71
01-09-99,32.61
01-08-99,32.61
01-07-99,32.61
01-06-99,32.61
01-05-99,37.92
01-04-99,37.92
01-03-99,37.92
01-02-99,37.92
01-01-99,56.32
01-12-98,42.4
01-11-98,42.4
01-10-98,42.4
01-09-98,50.45
01-08-98,50.45
01-07-98,50.45
01-06-98,50.45
01-05-98,55.77
01-04-98,55.77
01-03-98,55.77
01-02-98,55.77
01-01-98,50.71
01-12-97,18.28
01-11-97,18.28
01-10-97,26.73
01-09-97,26.73
01-08-97,26.73
01-07-97,26.73
01-06-97,26.73
01-05-97,26.73
01-04-97,26.73
01-03-97,26.73
01-02-97,42.4
01-01-97,42.4
01-12-96,18.1
01-11-96,18.1
01-10-96,18.1
01-09-96,22.87
01-08-96,22.87
01-07-96,22.5
01-06-96,25.82
01-05-96,25.82
01-04-96,25.82
01-03-96,20.42
01-02-96,25.6
01-01-96,25.6
01-12-95,7.5
01-11-95,7.5
01-10-95,14.85
01-09-95,14.85
01-08-95,14.85
01-07-95,17.35
01-06-95,24.7
01-05-95,19.95
01-04-95,23.82
01-03-95,18.1
01-02-95,18.1
01-01-95,18.1
01-12-94,6.91
01-11-94,6.91
01-10-94,3.56
01-09-94,0.36
01-08-94,9.53
01-07-94,2.8
01-06-94,2.8
01-05-94,-0.53
01-04-94,7.5
01-03-94,7.5
01-02-94,7.5
01-01-94,7.5
01-12-93,8.39
01-11-93,8.39
01-10-93,8.39
01-09-93,5.32
01-08-93,5.32
01-07-93,5.32
01-06-93,3.24
01-05-93,-1.86
01-04-93,-1.86
01-03-93,-1.86
01-02-93,-1.86
01-01-93,-1.86
01-12-92,0
01-11-92,0
01-10-92,0
01-09-92,0
01-08-92,0
01-07-92,0
01-06-92,0
01-05-92,0
01-04-92,6.17
01-03-92,6.17
01-02-92,6.17
01-01-92,6.17
