Date,Peak
2021-01,27412.777861616014
2021-02,27262.36923518777
2021-03,28164.896778357026
2021-04,27238.4577365607
2021-05,27425.53930810094
2021-06,27652.686157190798
2021-07,28204.749761867522
2021-08,28543.506922888755
2021-09,28024.17109194696
2021-10,27716.13438436389
2021-11,27084.720417326687
2021-12,26638.164764003453
2022-01,27130.918417873978
2022-02,27238.21046501398
2022-03,28050.312892481685
2022-04,28726.93723127544
2022-05,28867.59344846904
2022-06,28003.4133985877
2022-07,27076.897114795443
2022-08,26722.323319160936
2022-09,26992.428862956163
2022-10,26979.837931820748
2022-11,26873.129814738033
2022-12,27571.89734483063
2023-01,27531.848584437368
2023-02,28382.159080961344
2023-03,27869.12697416544
2023-04,27798.336870989202
2023-05,27343.119669449326
2023-06,27458.404562872645
2023-07,28386.8791012913
2023-08,28727.094630059597
2023-09,28418.732437336443
2023-10,28111.928686895964
2023-11,27012.17415179014
2023-12,27330.15661649704
2024-01,27712.979607498644
2024-02,28066.609496226905
2024-03,28781.77807678878
2024-04,28550.04334461987
2024-05,28618.001727077364
2024-06,27730.558719855544
2024-07,27126.80953232944
2024-08,27208.36833565533
2024-09,27266.664667439458
2024-10,26778.79256197214
2024-11,27312.834977459905
2024-12,27615.694528120755
2025-01,28698.261504635215
2025-02,28156.180091986058
2025-03,27987.19986642301
2025-04,27316.594087928534
2025-05,27071.16468994021
2025-06,27862.97676241398
2025-07,28606.98381218612
2025-08,28826.24226171672
2025-09,28718.856455424426
2025-10,27856.469488605857
2025-11,27807.589879143237
2025-12,27604.89473685324
2026-01,27596.23148834109
2026-02,28089.311841848492
2026-03,28589.26381820142
2026-04,29163.299127230046
2026-05,28809.36512850523
2026-06,28494.843493854998
2026-07,28018.68691023588
2026-08,27449.465866488215
2026-09,27240.676865097877
2026-10,27296.22260454893
2026-11,27645.0168528527
2026-12,28416.274781629443
2027-01,28792.32573852241
2027-02,28856.413276806474
2027-03,28224.838510394096
2027-04,27572.346708643436
2027-05,27350.095739018914
2027-06,27438.445036804675
2027-07,27854.998975890874
2027-08,28078.605323934553
2027-09,28248.782071736452
2027-10,28377.899112015963
2027-11,28259.737804391978
2027-12,28033.42167110741
2028-01,27666.5333638072
2028-02,27588.758932483193
2028-03,28069.186658418177
2028-04,28800.490557551384
2028-05,29247.215511727332
2028-06,28941.934740263223
2028-07,28385.10982236564
2028-08,27904.617971000072
2028-09,27607.806128561497
2028-10,27466.685487794875
2028-11,27819.222815209625
2028-12,28457.036208739875
2029-01,28981.602634462713
2029-02,28840.76764334142
2029-03,28346.400409033893
2029-04,27849.949584031103
2029-05,27342.072287416457
2029-06,27299.451708617806
2029-07,27518.18792452812
2029-08,27863.23812212348
2029-09,28470.775082242486
2029-10,28653.37030263543
2029-11,28591.683581608533
2029-12,27881.3287805289
2030-01,27440.67290971875
2030-02,27335.376037907597
2030-03,27526.841457065937
2030-04,28303.51409833729
2030-05,28933.975899890065
2030-06,29158.006350213287
2030-07,28696.34551449716
2030-08,28078.51739436686
2030-09,27720.160684126615
2030-10,27426.61729545295
2030-11,27596.50839360952
2030-12,28105.668684634566
